classification,mean,median,std,count,min,max
Extreme Fear,7054.7951,16.176,22281.7393,21400,0.0003,90299.0
Extreme Greed,6082.1959,18.25,23201.1779,39992,0.0,109004.0
Fear,14152.6202,16.584,31644.4329,61837,0.0,100036.0
Greed,13411.2763,20.539,31515.3171,50303,0.0,106109.0
Neutral,12393.6928,22.102,31286.444,37686,0.0,100831.0
