classification,mean,median,std,count,min,max
Extreme Fear,34.54,0.0,1136.06,21400,-31036.69,115287.0
Extreme Greed,67.89,0.0,766.83,39992,-10259.47,44223.45
Fear,54.29,0.0,935.36,61837,-35681.75,135329.09
Greed,42.74,0.0,1116.03,50303,-117990.1,74530.52
Neutral,34.31,0.0,517.12,37686,-24500.0,48504.1
